date,price
1995-01-01,28.5
1995-02-01,27.5
1995-03-01,27.0
1995-04-01,27.0
1995-05-01,28.0
1995-06-01,27.5
1995-07-01,26.5
1995-08-01,26.5
1995-09-01,28.0
1995-10-01,27.0
1995-11-01,27.5
1995-12-01,28.0
1996-01-01,30.0
1996-02-01,29.5
1996-03-01,32.0
1996-04-01,32.5
1996-05-01,30.5
1996-06-01,30.0
1996-07-01,31.0
1996-08-01,31.5
1996-09-01,34.0
1996-10-01,40.5
1996-11-01,36.5
1996-12-01,39.0
1997-01-01,39.5
1997-02-01,39.0
1997-03-01,33.0
1997-04-01,33.0
1997-05-01,34.5
1997-06-01,33.5
1997-07-01,33.5
1997-08-01,35.5
1997-09-01,33.5
1997-10-01,36.0
1997-11-01,36.5
1997-12-01,35.0
1998-01-01,31.0
1998-02-01,31.0
1998-03-01,29.0
1998-04-01,30.5
1998-05-01,29.5
1998-06-01,27.0
1998-07-01,27.5
1998-08-01,27.0
1998-09-01,25.0
1998-10-01,27.0
1998-11-01,25.5
1998-12-01,24.0
1999-01-01,24.0
1999-02-01,23.5
1999-03-01,25.0
1999-04-01,29.0
1999-05-01,29.5
1999-06-01,27.5
1999-07-01,31.0
1999-08-01,32.5
1999-09-01,35.5
1999-10-01,37.0
1999-11-01,36.5
1999-12-01,42.0
2000-01-01,44.0
2000-02-01,44.5
2000-03-01,48.0
2000-04-01,44.0
2000-05-01,45.5
2000-06-01,46.5
2000-07-01,49.5
2000-08-01,49.0
2000-09-01,64.5
2000-10-01,59.0
2000-11-01,60.0
2000-12-01,60.5
2001-01-01,49.5
2001-02-01,44.5
2001-03-01,46.0
2001-04-01,50.0
2001-05-01,48.5
2001-06-01,48.5
2001-07-01,49.0
2001-08-01,48.0
2001-09-01,49.0
2001-10-01,48.0
2001-11-01,43.0
2001-12-01,39.5
2002-01-01,41.5
2002-02-01,38.0
2002-03-01,38.0
2002-04-01,42.5
2002-05-01,41.0
2002-06-01,38.5
2002-07-01,39.0
2002-08-01,39.5
2002-09-01,43.0
2002-10-01,44.5
2002-11-01,41.0
2002-12-01,42.0
2003-01-01,44.5
2003-02-01,45.0
2003-03-01,53.5
2003-04-01,43.5
2003-05-01,40.0
2003-06-01,39.0
2003-07-01,41.0
2003-08-01,43.0
2003-09-01,43.5
2003-10-01,45.5
2003-11-01,43.5
2003-12-01,43.5
2004-01-01,43.5
2004-02-01,40.5
2004-03-01,44.0
2004-04-01,45.0
2004-05-01,47.5
2004-06-01,47.5
2004-07-01,47.5
2004-08-01,54.0
2004-09-01,52.5
2004-10-01,62.5
2004-11-01,61.5
2004-12-01,57.0
2005-01-01,52.0
2005-02-01,56.0
2005-03-01,62.0
2005-04-01,68.0
2005-05-01,61.0
2005-06-01,63.5
2005-07-01,72.5
2005-08-01,73.5
2005-09-01,86.5
2005-10-01,87.5
2005-11-01,78.5
2005-12-01,75.5
2006-01-01,75.5
2006-02-01,78.5
2006-03-01,77.5
2006-04-01,80.5
2006-05-01,82.0
2006-06-01,80.5
2006-07-01,82.5
2006-08-01,84.0
2006-09-01,83.0
2006-10-01,76.5
2006-11-01,73.5
2006-12-01,73.5
2007-01-01,69.0
2007-02-01,69.5
2007-03-01,71.0
2007-04-01,75.0
2007-05-01,76.0
2007-06-01,76.5
2007-07-01,79.5
2007-08-01,81.0
2007-09-01,81.3
2007-10-01,85.5
2007-11-01,96.0
2007-12-01,95.7
2008-01-01,104.4
2008-02-01,94.4
2008-03-01,101.4
2008-04-01,99.5
2008-05-01,114.3
2008-06-01,127.2
2008-07-01,138.3
2008-08-01,123.4
2008-09-01,119.1
2008-10-01,115.9
2008-11-01,99.8
2008-12-01,76.8
2009-01-01,68.5
2009-02-01,68.9
2009-03-01,59.5
2009-04-01,61.0
2009-05-01,59.4
2009-06-01,67.8
2009-07-01,69.9
2009-08-01,71.1
2009-09-01,69.2
2009-10-01,72.9
2009-11-01,74.3
2009-12-01,71.4
2010-01-01,82.5
2010-02-01,76.5
2010-03-01,82.9
2010-04-01,87.7
2010-05-01,93.7
2010-06-01,87.8
2010-07-01,83.0
2010-08-01,83.3
2010-09-01,79.2
2010-10-01,84.7
2010-11-01,86.0
2010-12-01,87.1
2011-01-01,87.7
2011-02-01,93.1
2011-03-01,104.1
2011-04-01,104.8
2011-05-01,102.6
2011-06-01,97.0
2011-07-01,87.6
2011-08-01,80.7
2011-09-01,93.2
2011-10-01,94.7
2011-11-01,97.8
2011-12-01,107.0
2012-01-01,102.2
2012-02-01,101.8
2012-03-01,105.5
2012-04-01,104.7
2012-05-01,104.6
2012-06-01,98.6
2012-07-01,96.5
2012-08-01,102.6
2012-09-01,107.5
2012-10-01,103.7
2012-11-01,103.1
2012-12-01,101.8
2013-01-01,99.3
2013-02-01,103.1
2013-03-01,100.1
2013-04-01,101.5
2013-05-01,93.8
2013-06-01,94.4
2013-07-01,97.2
2013-08-01,100.9
2013-09-01,102.3
2013-10-01,98.0
2013-11-01,100.8
2013-12-01,100.4
2014-01-01,105.4
2014-02-01,103.9
2014-03-01,102.7
2014-04-01,100.4
2014-05-01,100.4
2014-06-01,101.0
2014-07-01,102.4
2014-08-01,100.9
2014-09-01,100.2
2014-10-01,97.9
2014-11-01,94.6
2014-12-01,83.7
2015-01-01,75.2
2015-02-01,70.2
2015-03-01,79.2
2015-04-01,74.2
2015-05-01,78.5
2015-06-01,76.2
2015-07-01,76.3
2015-08-01,70.1
2015-09-01,72.4
2015-10-01,72.3
2015-11-01,79.8
2015-12-01,67.2
2016-01-01,66.7
2016-02-01,62.2
2016-03-01,61.5
2016-04-01,62.4
2016-05-01,70.2
2016-06-01,73.5
2016-07-01,72.0
2016-08-01,65.0
2016-09-01,70.7
2016-10-01,74.6
2016-11-01,74.8
2016-12-01,76.1
2017-01-01,83.2
2017-02-01,80.2
2017-03-01,78.5
2017-04-01,77.2
2017-05-01,71.2
2017-06-01,71.4
2017-07-01,69.9
2017-08-01,76.9
2017-09-01,76.0
2017-10-01,79.0
2017-11-01,82.2
2017-12-01,83.0
2018-01-01,88.5
2018-02-01,87.5
2018-03-01,86.2
2018-04-01,88.5
2018-05-01,92.2
2018-06-01,94.6
2018-07-01,94.8
2018-08-01,94.3
2018-09-01,98.0
2018-10-01,104.0
2018-11-01,112.5
2018-12-01,100.6
2019-01-01,82.5
2019-02-01,89.0
2019-03-01,94.2
2019-04-01,90.0
2019-05-01,94.8
2019-06-01,87.3
2019-07-01,90.3
2019-08-01,88.7
2019-09-01,87.5
2019-10-01,90.0
2019-11-01,86.0
2019-12-01,87.5
2020-01-01,91.5
2020-02-01,79.8
2020-03-01,74.1
2020-04-01,65.2
2020-05-01,62.7
2020-07-01,66.1
2020-09-01,64.1
2020-10-01,62.2
2020-12-01,67.6
2021-02-01,71.1
2021-03-01,78.25
2021-04-01,77.6
2021-06-01,81.6
2021-07-01,85.6
2021-09-01,85.0
2021-10-01,92.1
2021-11-01,99.8
2021-12-01,94.49
2022-02-01,108.7
2022-03-01,120.7
2022-04-01,138.55
2022-06-01,149.8
2022-07-01,145.2
2022-09-01,157.4
2022-11-01,157.9
2022-12-01,137.6
2023-02-01,119.8
2023-03-01,119.15
2023-05-01,100.6
2023-06-01,99.9
2023-08-01,116.2
2023-09-01,116.6
2023-11-01,120.4
2023-12-01,111.0
2024-02-01,110.2
2024-03-01,107.6
2024-05-01,107.8
2024-07-01,107.8
2024-10-01,94.1
2024-11-01,97.3
2025-04-01,100.2
2025-05-01,92.7
2025-07-01,93.7
2025-09-01,90.5
2025-10-01,91.2
2025-12-01,91.3
