station;postcode;hdd;t_ext_design_c;cooling_hours;cooling_degree_hours;e;n
Berne;3000;4008;-11.5;341;911;2601934;1204410
Genève;1200;3495;-8.0;522;1600;2500330;1116432
Zurich;8000;3874;-10.9;332;887;2682711;1259339
Neuchatel;2000;3572;-8.4;386;986;2563087;1205560
Sion;1950;3672;-10.5;571;1747;2591633;1118584
Lugano;6900;2864;-3.1;672;1659;2717874;1095883
Lausanne;1000;3345;-7.5;384;900;2538976;1153256
Bale;4000;3520;-10.4;465;1394;2610909;1265612
Lucerne;6000;3772;-9.6;358;946;2665545;1209850
Saint-Galles;9000;4158;-12.4;153;288;2747866;1254588
Bienne;2500;3795;-10.3;416;1217;2586007;1222264
Bellinzone;6500;3223;-8.2;708;1948;2720913;1116587
Delémont;2800;3557;-10.6;445;1437;2593270;1244543
Fribourg;1700;3701;-11.4;366;999;2575184;1180076
Schaffhouse;8200;3827;-10.9;379;1084;2688704;1282803
Interlaken;3800;4057;-10.4;284;715;2633043;1169070
Thoune;3600;3653;-10.4;412;1205;2611201;1177640
Zermatt;3900;5497;-16.1;42;64;2624298;1097574
Andermatt;6490;5206;-20.9;38;48;2687445;1165044
Coire;7000;3767;-11.6;412;1214;2759485;1193176
Locarno;6600;2903;-3.6;659;1695;2704167;1114316
Engelberg;6390;4777;-15.5;91;168;2674162;1186069







