station_abbr;station_name;year_start;year_end;n_years;n_hours_total;t_mean_annual_c;t_mean_summer_c;t_p95_summer_c_mean;t_p99_summer_c_mean;cdh_24;cdh_26;hours_above_24;hours_above_26;hours_above_28;hours_above_30;night_hours_below_18;hot_nights_min_gt_18;night_hours_below_20;hot_nights_min_gt_20
ANT;Andermatt;2013;2024;12;97464;4.677;13.199;21.636;24.586;44.15;5.683;34.5;6.5;0.7;0.0;753.7;0.0;758.9;0.0
BAS;Bale;1981;2024;44;385673;10.876;19.208;28.028;31.235;1252.559;626.357;391.5;233.8;122.1;53.3;607.8;10.4;742.2;2.0
BER;Bern;1981;2024;44;385704;9.401;18.019;27.019;29.881;850.861;381.075;303.2;166.9;77.5;25.8;718.5;2.6;798.4;0.1
CHU;Coire;1981;2024;44;385672;10.144;18.47;27.663;30.892;1092.555;540.864;347.6;203.3;106.1;46.3;670.6;5.9;771.7;1.0
DEM;Delémont;2012;2024;13;108182;10.252;18.73;28.304;31.81;1292.9;683.585;373.0;233.8;131.6;64.1;653.5;2.8;733.3;0.1
ENG;Engelberg;1982;2024;43;370057;6.799;14.744;23.304;26.266;159.807;47.14;84.9;31.8;8.4;1.0;787.4;0.3;802.5;0.0
GRA;Fribourg;2011;2024;14;118597;9.942;18.547;27.286;30.332;943.55;432.193;327.4;183.6;88.1;31.0;666.9;4.5;757.1;0.4
GRE;Bienne;1992;2024;33;285188;9.961;18.62;27.82;30.696;1120.618;541.17;362.6;215.5;109.0;43.4;705.6;2.3;793.2;0.1
GVE;Geneve;1981;2024;44;385685;11.003;19.667;28.534;31.421;1477.568;745.136;456.5;276.0;144.6;65.0;599.1;8.7;735.6;1.5
INT;Interlaken;1981;2024;44;385438;9.207;17.716;26.326;29.318;670.502;286.482;253.5;132.0;57.5;18.8;728.8;2.2;803.5;0.1
LUG;Lugano;1981;2024;44;385704;12.887;21.539;27.987;29.872;1564.85;628.264;608.8;323.2;125.3;32.2;305.1;40.6;522.7;16.3
LUZ;Lucerne;1981;2024;44;385704;10.073;18.578;27.048;29.934;877.086;389.582;315.5;173.4;78.0;27.5;643.0;7.1;768.0;0.9
MAG;Bellinzone;1981;2024;44;385704;11.921;21.141;28.588;30.393;1795.52;803.093;616.2;368.5;166.9;50.5;438.5;20.9;664.1;4.5
NEU;Neuchatel;1981;2024;44;385655;10.656;19.215;27.091;29.757;935.266;402.784;351.4;184.0;79.6;27.8;553.1;13.8;703.1;3.3
OTL;Locarno;1981;2024;44;385704;12.768;21.287;28.133;30.155;1583.002;673.832;586.2;320.5;135.6;42.0;334.3;37.2;557.3;13.9
PUY;Lausanne;1981;2024;44;385679;11.288;19.649;26.784;29.256;860.559;338.714;355.2;170.9;65.3;19.4;473.2;22.1;650.0;7.1
REH;Zurich;1990;1999;10;87648;9.446;17.927;26.963;29.878;807.21;353.73;290.4;161.8;70.2;26.4;720.0;1.9;806.7;0.0
SHA;Schaffhouse;1981;2024;44;381513;9.831;18.468;27.399;30.503;995.916;475.845;329.0;189.9;94.5;38.3;672.2;5.3;779.7;0.4
SIO;Sion;1981;2024;44;385704;10.565;19.654;28.67;31.457;1571.636;790.607;479.9;296.9;156.0;66.2;638.1;5.5;763.7;0.5
SMA;Zurich;1981;2024;34;298023;9.86;18.254;26.859;29.925;830.856;376.994;294.9;161.1;74.7;28.5;645.6;8.1;757.0;1.8
STG;Saint_Galles;1981;2024;44;380628;8.675;16.751;24.434;27.004;277.52;86.116;143.5;54.5;16.8;2.7;660.5;6.6;745.0;2.2
THU;Thoune;2012;2024;13;105099;9.613;18.585;27.83;31.038;1037.631;503.023;335.2;199.0;102.8;39.2;661.1;1.6;733.3;0.1
ZER;Zermatt;1981;2024;44;377153;4.693;12.927;21.722;24.65;60.38;13.345;39.1;11.5;1.9;0.1;803.6;0.0;806.7;0.0
