station_abbr;station_name;year_start_used;year_end_used;n_years_used;n_hours_total_used;t_mean_annual_c_ref;t_mean_summer_c_ref;t_p95_summer_c_ref;t_p99_summer_c_ref;cdh_24_ref;cdh_26_ref;hours_above_24_ref;hours_above_26_ref;hours_above_28_ref;hours_above_30_ref;night_hours_below_18_ref;night_hours_below_20_ref;hot_nights_min_gt_18_ref;hot_nights_min_gt_20_ref;climate_class;f_climat_cdh26_vs_ref;f_night_potential_vs_ref;f_hot_nights_vs_ref
ANT;Andermatt;2015;2024;10;87672;4.758;13.373;21.929;24.705;51.84;6.82;39.8;7.8;0.8;0.0;822.4;827.9;0.0;0.0;froid;0.2;1.485;0.3
BAS;Bale;2015;2024;10;87641;11.83;20.579;29.5;32.877;1946.06;1046.87;545.3;351.4;202.5;98.4;518.5;676.5;16.9;4.7;tres_chaud;1.678;1.214;0.359
MAG;Bellinzone;2015;2024;10;87672;12.62;22.148;30.023;32.067;2667.05;1376.48;762.6;518.7;291.1;114.9;365.6;599.6;26.8;7.7;tres_chaud;2.206;1.076;0.588
BER;Bern;2015;2024;10;87672;10.206;19.229;28.247;31.208;1264.24;617.49;408.9;239.7;124.7;48.8;644.7;763.3;6.9;0.4;chaud;0.99;1.369;0.3
GRE;Bienne;2015;2024;10;87371;10.636;19.729;28.913;31.871;1568.63;799.03;470.0;293.9;158.6;70.5;635.0;761.7;6.3;0.4;chaud;1.281;1.367;0.3
CHU;Coire;2015;2024;10;87672;11.209;19.965;29.123;32.188;1635.26;865.12;473.1;293.1;173.5;80.9;562.2;718.1;12.9;3.0;chaud;1.386;1.288;0.3
DEM;Delémont;2015;2024;10;87672;10.422;19.066;28.899;32.367;1516.15;809.22;430.9;274.1;155.7;75.3;695.8;788.2;3.5;0.1;chaud;1.297;1.414;0.3
ENG;Engelberg;2015;2024;10;87672;7.774;16.021;24.443;27.479;279.04;91.22;132.4;55.3;17.7;2.6;783.9;819.6;0.7;0.0;tempere;0.2;1.47;0.3
GRA;Fribourg;2015;2024;10;87613;10.069;18.917;27.739;30.746;1100.14;514.72;371.8;213.3;104.3;38.7;656.8;759.1;5.4;0.5;chaud;0.825;1.362;0.3
GVE;Geneve;2015;2024;10;87672;11.887;20.983;30.016;32.947;2218.79;1208.06;612.4;390.7;227.7;119.8;507.0;675.8;15.2;3.6;tres_chaud;1.936;1.212;0.3
INT;Interlaken;2015;2024;10;87546;10.123;19.011;27.59;30.648;1034.25;484.15;351.2;198.9;96.4;37.9;645.2;769.8;6.3;0.4;chaud;0.776;1.381;0.3
PUY;Lausanne;2015;2024;10;87647;12.144;20.914;28.1;30.728;1412.82;623.99;517.1;275.5;123.6;46.2;367.5;557.4;31.6;13.1;chaud;1.0;1.0;1.0
OTL;Locarno;2015;2024;10;87672;13.75;22.568;29.54;31.718;2462.96;1176.92;795.2;484.4;242.0;88.5;214.9;424.0;52.2;24.3;tres_chaud;1.886;0.761;1.855
LUZ;Lucerne;2015;2024;10;87672;10.96;19.82;28.296;31.267;1316.27;631.5;435.1;251.8;126.9;49.9;549.2;712.4;14.4;3.0;chaud;1.012;1.278;0.3
LUG;Lugano;2015;2024;10;87672;13.789;22.757;29.27;31.187;2438.82;1097.34;829.8;497.9;227.6;70.3;199.5;404.5;54.2;26.5;tres_chaud;1.759;0.726;2.023
NEU;Neuchatel;2015;2024;10;87672;11.553;20.508;28.373;31.178;1464.6;685.13;497.6;279.9;133.6;56.4;443.4;621.4;22.0;7.0;chaud;1.098;1.115;0.534
STG;Saint_Galles;2015;2024;10;87645;9.602;17.979;25.523;28.282;451.28;152.87;215.7;90.0;30.7;6.3;602.5;712.8;11.3;4.3;tempere;0.245;1.279;0.328
SHA;Schaffhouse;2015;2024;10;87648;10.747;19.809;28.903;32.105;1562.15;810.66;462.4;286.8;159.9;73.8;598.3;742.9;9.7;1.5;chaud;1.299;1.333;0.3
SIO;Sion;2015;2024;10;87672;11.614;21.223;30.47;33.367;2526.4;1414.48;655.5;451.2;270.0;138.0;517.9;697.3;12.8;1.8;tres_chaud;2.267;1.251;0.3
THU;Thoune;2015;2024;10;87491;9.765;18.84;28.156;31.266;1222.26;597.37;389.8;233.6;121.6;46.5;709.2;793.5;2.0;0.1;chaud;0.957;1.424;0.3
ZER;Zermatt;2015;2024;10;87377;5.649;14.237;23.061;25.983;123.3;29.33;74.8;24.7;4.2;0.1;819.4;825.0;0.0;0.0;froid;0.2;1.48;0.3
SMA;Zurich;2015;2024;10;87639;10.703;19.461;28.08;31.226;1224.04;592.88;400.7;231.6;119.1;49.0;559.8;704.2;14.3;4.2;chaud;0.95;1.263;0.321
