typologie_detaillee;n;k_mediane;k_moyenne;k_q25;k_q75;niveaux_median;surface_hs_mediane;hauteur_mediane
Résidentiel collectif spécialisé;4;1.5351134192040052;1.7167993212894475;1.343169075144205;1.9087436653492478;9.0;2679.955;26.39
Mixte;119;1.6866008753242014;1.678542913951118;1.5009926545526486;1.8494588000235406;7.0;1305.62;22.56
Grand collectif;88;1.7142056214964034;1.7247772430113393;1.5369568675969065;1.9244910691578827;7.0;1244.8200000000002;20.745
Résidentiel atypique;18;1.7350279571985245;1.7519086903727652;1.1346587652258515;2.2817146299449025;4.0;439.17;11.2
Maison 2 logements;37;1.9108575437641422;1.9500962566670261;1.2535443277382028;2.367543959223795;2.0;331.67;7.59
Immeuble collectif;54;1.9408422678088133;2.0149929754116225;1.5517645398887248;2.432223796076058;3.0;527.0895;10.5
Maison individuelle grande;139;1.9847636417334893;2.0099727230913143;1.2640179592474814;2.707650398157332;3.0;315.62;8.399999999999999
Activités;64;1.9924596234584233;2.1197690959186604;1.486327124368307;2.5857234504730524;3.5;1243.815;12.385000000000002
Maison individuelle;310;2.096637256342288;1.9810976195537973;1.14315885270085;2.6011759936829435;2.0;221.325;5.6
Equipement collectif;60;2.148332084039552;2.0400036613487447;1.2668379329788317;2.7239021642251537;3.0;1204.02;8.809999999999999
Petit collectif;12;2.3891813669649684;2.239213351017556;1.1762712804486921;2.852187830198239;2.0;332.4955;6.74
